postcodes,district,county,district_county,agriculture_animal_production_hunting_forestry_and_fishing,extractive_industries,manufacturing_industries,electricity_gas_steam_hot_and_cold_water_and_cold air,water_collection_treatment_and_distribution,construction,wholesale_and_retail_trade,transport_and_storage,accommodation_catering_and_similar,information_and_communication_activity,real_estate_activities,consulting_scientific_technical_and_similar_activities,administrative_activities_and_support_services,education,human_health_and_social_support_activities,artistic_concert_sporting_and_recreational_activities,other_service_activities
2435,Santarém,Ourém,Santarém_Ourém,0.03140056487788669,0.0018275461040039873,0.07476324970925402,0.005316497757102508,0.0016614055490945339,0.14437614221631498,0.22495431134739988,0.020269147698953313,0.08572852633327795,0.011463698288752284,0.04485794982555241,0.08406712078418341,0.09320485130420335,0.03738162485462701,0.06662236251869082,0.021764412693138394,0.050340588137564375
2495,Santarém,Ourém,Santarém_Ourém,0.03140056487788669,0.0018275461040039873,0.07476324970925402,0.005316497757102508,0.0016614055490945339,0.14437614221631498,0.22495431134739988,0.020269147698953313,0.08572852633327795,0.011463698288752284,0.04485794982555241,0.08406712078418341,0.09320485130420335,0.03738162485462701,0.06662236251869082,0.021764412693138394,0.050340588137564375
2040,Santarém,Rio Maior,Santarém_Rio Maior,0.11502347417840376,0.01564945226917058,0.07237871674491393,0.005868544600938968,7.824726134585291e-4,0.07550860719874805,0.20226917057902974,0.029733959311424103,0.073943661971831,0.014866979655712051,0.029733959311424103,0.07433489827856025,0.10680751173708922,0.05594679186228483,0.05907668231611894,0.01721439749608764,0.05086071987480439
2120,Santarém,Salvaterra de Magos,Santarém_Salvaterra de Magos,0.1109004739336493,9.478672985781991e-4,0.04881516587677725,0.01042654028436019,4.7393364928909954e-4,0.0957345971563981,0.20236966824644548,0.025592417061611375,0.06919431279620852,0.014691943127962084,0.02890995260663507,0.07298578199052133,0.13175355450236967,0.04123222748815166,0.06729857819905213,0.01848341232227488,0.06018957345971564
2125,Santarém,Salvaterra de Magos,Santarém_Salvaterra de Magos,0.1109004739336493,9.478672985781991e-4,0.04881516587677725,0.01042654028436019,4.7393364928909954e-4,0.0957345971563981,0.20236966824644548,0.025592417061611375,0.06919431279620852,0.014691943127962084,0.02890995260663507,0.07298578199052133,0.13175355450236967,0.04123222748815166,0.06729857819905213,0.01848341232227488,0.06018957345971564
2124,Santarém,Salvaterra de Magos,Santarém_Salvaterra de Magos,0.1109004739336493,9.478672985781991e-4,0.04881516587677725,0.01042654028436019,4.7393364928909954e-4,0.0957345971563981,0.20236966824644548,0.025592417061611375,0.06919431279620852,0.014691943127962084,0.02890995260663507,0.07298578199052133,0.13175355450236967,0.04123222748815166,0.06729857819905213,0.01848341232227488,0.06018957345971564
2005,Santarém,Santarém,Santarém_Santarém,0.08321579689703808,0.006488011283497884,0.05133991537376587,0.006770098730606488,0.0011283497884344146,0.05684062059238364,0.1853314527503526,0.028772919605077576,0.06473906911142455,0.018335684062059238,0.033568406205923836,0.09971791255289139,0.13272214386459802,0.056558533145275036,0.09760225669957687,0.027362482369534556,0.04950634696755995
2025,Santarém,Santarém,Santarém_Santarém,0.08321579689703808,0.006488011283497884,0.05133991537376587,0.006770098730606488,0.0011283497884344146,0.05684062059238364,0.1853314527503526,0.028772919605077576,0.06473906911142455,0.018335684062059238,0.033568406205923836,0.09971791255289139,0.13272214386459802,0.056558533145275036,0.09760225669957687,0.027362482369534556,0.04950634696755995
2000,Santarém,Santarém,Santarém_Santarém,0.08321579689703808,0.006488011283497884,0.05133991537376587,0.006770098730606488,0.0011283497884344146,0.05684062059238364,0.1853314527503526,0.028772919605077576,0.06473906911142455,0.018335684062059238,0.033568406205923836,0.09971791255289139,0.13272214386459802,0.056558533145275036,0.09760225669957687,0.027362482369534556,0.04950634696755995
2004,Santarém,Santarém,Santarém_Santarém,0.08321579689703808,0.006488011283497884,0.05133991537376587,0.006770098730606488,0.0011283497884344146,0.05684062059238364,0.1853314527503526,0.028772919605077576,0.06473906911142455,0.018335684062059238,0.033568406205923836,0.09971791255289139,0.13272214386459802,0.056558533145275036,0.09760225669957687,0.027362482369534556,0.04950634696755995
