postcodes,district,county,district_county
2691,Lisboa,Loures,Lisboa_Loures
2664,Lisboa,Loures,Lisboa_Loures
2530,Lisboa,Lourinhã,Lisboa_Lourinhã
2665,Lisboa,Mafra,Lisboa_Mafra
2655,Lisboa,Mafra,Lisboa_Mafra
2640,Lisboa,Mafra,Lisboa_Mafra
2644,Lisboa,Mafra,Lisboa_Mafra
2659,Lisboa,Mafra,Lisboa_Mafra
2669,Lisboa,Mafra,Lisboa_Mafra
1685,Lisboa,Odivelas,Lisboa_Odivelas
2620,Lisboa,Odivelas,Lisboa_Odivelas
1689,Lisboa,Odivelas,Lisboa_Odivelas
2675,Lisboa,Odivelas,Lisboa_Odivelas
1675,Lisboa,Odivelas,Lisboa_Odivelas
1679,Lisboa,Odivelas,Lisboa_Odivelas
2621,Lisboa,Odivelas,Lisboa_Odivelas
1495,Lisboa,Oeiras,Lisboa_Oeiras
1499,Lisboa,Oeiras,Lisboa_Oeiras
2790,Lisboa,Oeiras,Lisboa_Oeiras
2760,Lisboa,Oeiras,Lisboa_Oeiras
2730,Lisboa,Oeiras,Lisboa_Oeiras
2734,Lisboa,Oeiras,Lisboa_Oeiras
2794,Lisboa,Oeiras,Lisboa_Oeiras
2761,Lisboa,Oeiras,Lisboa_Oeiras
2795,Lisboa,Oeiras,Lisboa_Oeiras
2799,Lisboa,Oeiras,Lisboa_Oeiras
2780,Lisboa,Oeiras,Lisboa_Oeiras
2784,Lisboa,Oeiras,Lisboa_Oeiras
2770,Lisboa,Oeiras,Lisboa_Oeiras
2774,Lisboa,Oeiras,Lisboa_Oeiras
2740,Lisboa,Oeiras,Lisboa_Oeiras
2744,Lisboa,Oeiras,Lisboa_Oeiras
2735,Lisboa,Sintra,Lisboa_Sintra
2739,Lisboa,Sintra,Lisboa_Sintra
2725,Lisboa,Sintra,Lisboa_Sintra
2729,Lisboa,Sintra,Lisboa_Sintra
2605,Lisboa,Sintra,Lisboa_Sintra
2715,Lisboa,Sintra,Lisboa_Sintra
2609,Lisboa,Sintra,Lisboa_Sintra
2745,Lisboa,Sintra,Lisboa_Sintra
2705,Lisboa,Sintra,Lisboa_Sintra
